startup_id,startup_name,industry,country,city_tier,founded_year,founders_count,female_founder,funding_rounds,total_funding_usd,last_funding_year,investor_count,has_vc,has_angel,employees,burn_rate_usd_monthly,annual_revenue_usd,profitability,customer_count,churn_rate_percent,milestones,patents_count,market_size_usd,valuation_usd,remote_work_policy,age_first_funding_year,status,closure_reason
41,Startup_41,Cybersecurity,India,Tier2,2022,1,0,2,3320476.75,2007,0,0,0,15,33092.47265625,4951397,Profitable,1732,26.4699993133545,6,2,77061080,1273028.625,Hybrid,6,closed,Operating
42,Startup_42,EdTech,Brazil,Tier1,2008,4,0,2,2818647.5,2011,5,1,0,21,48080.41796875,808133.125,Break-even,7229,26.4699993133545,1,1,3650027008,8932885,Remote,2,closed,Market competition
43,Startup_43,FoodTech,Australia,Tier2,2022,3,0,4,479293.4375,2015,0,0,0,3,NULL,1219247.5,Not Profitable,1086,23.7199993133545,5,2,15275286,4001590,Office,5,closed,Operating
44,Startup_44,HealthTech,Israel,Tier1,2006,1,0,0,2479247.25,2010,0,1,1,21,402575.0625,865121.9375,Not Profitable,1807,32.0699996948242,2,0,274040960,34778320,Hybrid,2,operating,Operating
45,Startup_45,Ecommerce,France,Tier1,2013,5,0,4,1472105.75,2012,1,0,0,8,598178,1219247.5,Break-even,1212,45.7000007629395,5,3,140702944,6422782,Hybrid,5,operating,Ran out of cash
46,Startup_46,HealthTech,Netherlands,Tier2,2001,3,0,0,8304290,2019,3,1,0,64,73488.390625,1219247.5,Not Profitable,1132,36,4,0,168058896,1269038.25,Remote,0,acquired,Product-market fit failure
47,Startup_47,Cybersecurity,Netherlands,Tier1,2011,1,0,3,3300408.5,2018,4,1,0,18,68489.0625,528727.4375,Break-even,4531,59.2599983215332,5,2,18140280,6767435,Office,4,operating,Strategic shutdown
48,Startup_48,Ecommerce,Germany,Tier1,2010,4,0,3,8030567.5,2015,0,0,0,20,46352.46484375,1151329.75,Not Profitable,2957,25.6399993896484,6,1,14498614,2846223.75,Remote,3,closed,Acquired talent
49,Startup_49,FoodTech,Germany,Tier3,2016,3,0,0,5007605,2019,0,0,1,20,290169.59375,8459483,Break-even,2353,20.9500007629395,9,0,267302896,3036919.25,Hybrid,3,closed,Operating
50,Startup_50,Cybersecurity,Australia,Tier1,2001,2,0,1,375397.25,2016,0,1,0,20,126826.4921875,6721829,Not Profitable,134,18.4200000762939,5,3,22841612,4443950,Remote,0,closed,Ran out of cash
51,Startup_51,SaaS,USA,Tier2,2021,1,0,3,288998,2012,0,0,1,20,148521.21875,1160013,Break-even,2957,32.3199996948242,8,2,61922296,19520608,Hybrid,6,closed,Founder conflict
52,Startup_52,EdTech,France,Tier1,2011,4,0,4,2371658.25,2010,0,1,1,37,324613.5625,6499989,Profitable,2957,10.710000038147,1,0,141325024,2818563.75,Hybrid,3,acquired,Product-market fit failure
53,Startup_53,FoodTech,Netherlands,Tier1,2014,3,0,0,322165.09375,2019,3,1,1,13,NULL,7283664.5,Not Profitable,1165,31.7399997711182,5,0,13221106,8932885,Remote,3,acquired,Product-market fit failure
54,Startup_54,ClimateTech,Israel,Tier1,2007,1,0,2,8485299,2019,7,0,1,22,151225.09375,2109879.75,Profitable,796,39.6800003051758,4,1,25130268,23072244,Remote,6,operating,Operating
55,Startup_55,SaaS,India,Tier3,2007,5,0,1,3320476.75,2008,0,0,1,16,518055.09375,282350.8125,Not Profitable,28,26.4699993133545,3,0,60102348,1363747,Remote,2,closed,Product-market fit failure
56,Startup_56,TravelTech,USA,Tier1,2021,5,0,0,10761428,2014,4,0,1,24,34720.91015625,1103881.375,Profitable,2957,13.3000001907349,5,2,1011744640,8932885,Remote,0,ipo,Market competition
57,Startup_57,FoodTech,Australia,Tier2,2017,2,0,5,25609530,2020,7,1,0,46,31491.783203125,314917.71875,Break-even,2957,26.4699993133545,3,1,147272096,4050093.5,Remote,4,operating,Strategic shutdown
58,Startup_58,TravelTech,Singapore,Tier3,2013,3,0,3,445824.53125,2022,0,1,0,6,217113.40625,10140230,Not Profitable,1433,29.1399993896484,10,3,58588572,64415308,Office,3,closed,Operating
59,Startup_59,Ecommerce,Netherlands,Tier1,2009,3,0,8,3320476.75,2009,6,0,0,12,272875.53125,1219247.5,Not Profitable,2957,44.060001373291,3,0,15377508,124534704,Remote,3,operating,Acquired talent
60,Startup_60,SaaS,UK,Tier2,2003,2,0,0,18913154,2014,0,0,0,20,74902.1328125,4384696,Profitable,1302,14.3599996566772,5,1,127070352,7620278.5,Remote,5,operating,Founder conflict
61,Startup_61,EdTech,USA,Tier2,2015,3,1,2,3759201.25,2014,6,0,1,30,NULL,879539.25,Not Profitable,2752,48.310001373291,4,1,177707616,13608014,Remote,5,operating,Operating
62,Startup_62,ClimateTech,Netherlands,Tier1,2015,5,0,4,4143479.25,2014,4,0,1,20,360231.875,12875.8056640625,Not Profitable,6705,14.9300003051758,3,0,3228593.5,21803092,Remote,0,operating,Market competition
63,Startup_63,ClimateTech,Canada,Tier1,2020,5,1,0,820322.4375,2014,8,1,0,13,793127.4375,2299075.5,Break-even,589,38.7000007629395,3,0,56563468,13202161,Office,2,closed,Acquired talent
64,Startup_64,Cybersecurity,France,Tier1,2016,2,1,6,2083326.75,2023,4,0,1,150,379888.5,876021.625,Not Profitable,48060,26.4699993133545,5,1,208845872,11750580,Office,3,operating,Product-market fit failure
65,Startup_65,ClimateTech,Germany,Tier2,2008,4,0,0,6385268.5,2020,5,0,0,29,98855.0859375,1219247.5,Break-even,2957,51.1399993896484,5,1,324776800,2182866.5,Office,6,closed,Product-market fit failure
66,Startup_66,Gaming,Canada,Tier2,2010,2,0,5,13506401,2017,6,0,1,14,58375.29296875,1092304,Profitable,12571,8.82999992370605,7,1,331574688,8932885,Office,3,operating,Operating
67,Startup_67,HealthTech,USA,Tier1,2012,5,0,1,907476.8125,2016,7,1,1,11,802952.8125,258864.625,Profitable,10049,10.7799997329712,6,1,49703772,62675500,Office,3,operating,Regulatory issues
68,Startup_68,Fintech,USA,Tier1,2000,2,1,4,7272937.5,2011,2,0,1,19,542541.875,552051.8125,Break-even,6584,15.6300001144409,6,0,263662624,20726546,Remote,2,closed,Ran out of cash
69,Startup_69,EdTech,Canada,Tier3,2006,5,0,5,3160566.25,2013,0,0,1,78,13175.5517578125,140833.921875,Break-even,2957,26.4699993133545,6,1,2062115712,3701739.75,Office,6,closed,Operating
70,Startup_70,SaaS,Singapore,Tier1,2010,4,0,5,3320476.75,2023,6,1,1,5,33239.69921875,69828.6640625,Not Profitable,425,10.8000001907349,6,1,358352864,73425040,Hybrid,3,acquired,Strategic shutdown
71,Startup_71,Gaming,Canada,Tier2,2002,5,1,5,947721.375,2022,3,0,1,12,16999.298828125,768852.25,Not Profitable,76292,11.1199998855591,3,1,52679988,19224132,Office,2,operating,Market competition
72,Startup_72,EdTech,India,Tier1,2001,3,0,7,5676361.5,2019,0,1,0,19,275904.46875,1219247.5,Not Profitable,422,5.13000011444092,6,0,1925732352,83066568,Office,3,operating,Operating
73,Startup_73,SaaS,Israel,Tier2,2013,1,1,2,11258381,2016,3,0,0,24,287799.5625,339354.0625,Profitable,14579,26.4699993133545,5,2,947436480,1644539.5,Remote,3,operating,Operating
74,Startup_74,AI,Canada,Tier3,2009,4,0,2,5623983,2024,5,0,1,44,25113.494140625,335106.625,Not Profitable,1883,64.8600006103516,6,0,32016470,9753748,Hybrid,3,closed,Operating
75,Startup_75,AI,UAE,Tier1,2023,1,0,5,3320476.75,2015,0,0,1,10,1091408.375,1306255.625,Not Profitable,4882,56.6500015258789,4,1,6966525,8538077,Remote,0,closed,Operating
76,Startup_76,TravelTech,UAE,Tier1,2019,4,0,5,22248292,2019,5,0,1,9,7195.62939453125,182447.265625,Break-even,574,19.9899997711182,3,2,60710696,8932885,Remote,1,acquired,Acquired talent
77,Startup_77,EdTech,Canada,Tier1,2016,4,0,3,1367152,2022,2,1,0,20,629673.4375,236188.921875,Profitable,2264,31.0200004577637,6,1,64864108,2553042.5,Remote,4,closed,Ran out of cash
78,Startup_78,AI,France,Tier1,2007,4,0,4,2134942,2022,8,0,1,154,100207.5234375,546056.625,Not Profitable,2957,17.0599994659424,8,2,125440344,26634556,Office,3,operating,Operating
79,Startup_79,SaaS,Israel,Tier1,2014,4,0,1,4610282.5,2013,0,0,0,12,302956.03125,1845834.125,Not Profitable,688,13.3199996948242,3,2,59912756,48080252,Office,1,ipo,Market competition
80,Startup_80,TravelTech,UK,Tier2,2021,5,0,1,5101108.5,2005,7,1,0,20,219516.890625,425782.40625,Profitable,2870,9,7,1,28066154,7307969,Remote,0,operating,Founder conflict
81,Startup_81,ClimateTech,Canada,Tier1,2005,3,0,3,29456296,2007,5,1,0,6,234929.4375,1300443.375,Not Profitable,837,55.7299995422363,7,0,207562384,2464550.75,Hybrid,0,operating,Operating
82,Startup_82,SaaS,Netherlands,Tier1,2019,5,0,4,135872.34375,2015,0,0,0,42,257217.34375,2077904.5,Profitable,1106,16.9599990844727,1,1,230730112,1792008.5,Remote,1,acquired,Market competition
83,Startup_83,TravelTech,Canada,Tier2,2021,5,0,1,7355273,2017,7,1,1,15,99784.203125,1219247.5,Not Profitable,1288,21.3700008392334,4,2,61120852,3685284,Office,5,acquired,Founder conflict
84,Startup_84,EdTech,India,Tier2,2001,3,1,4,10313871,2015,7,1,0,41,NULL,10338608,Not Profitable,3521,18.3999996185303,3,1,18272258,76987648,Hybrid,6,operating,Operating
85,Startup_85,Gaming,UAE,Tier1,2021,4,0,2,3981218.25,2021,6,1,1,7,124614.703125,35376200,Not Profitable,740,35.8600006103516,6,1,141480128,4821836,Hybrid,3,operating,Operating
86,Startup_86,Cybersecurity,Germany,Tier2,2014,3,0,2,2146156.5,2006,0,0,1,26,112043.3046875,4843382.5,Not Profitable,2596,26.4699993133545,6,0,1105405.875,15840118,Hybrid,0,operating,Market competition
87,Startup_87,ClimateTech,UAE,Tier2,2015,1,1,2,499898.09375,2013,0,0,1,20,11606.5791015625,1412311.5,Not Profitable,2350,43.2999992370605,3,1,22995424,40556572,Remote,2,ipo,Ran out of cash
88,Startup_88,FoodTech,UAE,Tier1,2001,3,0,0,4914962,2013,4,1,1,87,95501.8046875,260586.796875,Not Profitable,3819,50.7999992370605,5,1,2675561,13166375,Remote,6,operating,Regulatory issues
89,Startup_89,Gaming,India,Tier1,2021,5,0,6,3320476.75,2022,6,1,0,27,83197.9921875,1149424.625,Break-even,15599,47.1300010681152,2,0,11903982,8932885,Remote,6,operating,Operating
90,Startup_90,Ecommerce,Canada,Tier1,2013,4,0,6,29128144,2024,6,0,0,17,613283.4375,550882.0625,Break-even,2957,26.4699993133545,5,3,253232976,317853.15625,Remote,2,closed,Operating
91,Startup_91,SaaS,France,Tier2,2022,5,1,1,3787771.75,2012,0,1,0,29,304610.71875,1219247.5,Break-even,6088,3.67000007629395,6,2,76619960,3448346.25,Remote,1,operating,Ran out of cash
92,Startup_92,Ecommerce,Netherlands,Tier2,2019,1,0,0,801832.1875,2009,6,0,0,55,502423.59375,1219247.5,Not Profitable,403,35.9199981689453,2,1,328451456,5995567.5,Hybrid,2,operating,Product-market fit failure
93,Startup_93,Gaming,India,Tier2,2000,4,0,0,3320476.75,2019,7,1,1,9,NULL,13275.98046875,Break-even,1594,26.4699993133545,10,1,582275136,6554844,Hybrid,6,closed,Operating
94,Startup_94,TravelTech,France,Tier1,2008,2,0,5,6477308,2014,2,1,1,20,71858,554755.375,Not Profitable,5621,72.9499969482422,5,2,201474192,11418052,Office,4,operating,Operating
95,Startup_95,FoodTech,Israel,Tier1,2016,5,0,5,3320476.75,2015,0,1,1,21,NULL,3513959,Break-even,1347,15.1099996566772,5,1,99669440,3161886,Remote,3,closed,Operating
96,Startup_96,ClimateTech,France,Tier2,2020,5,0,2,379818.125,2019,0,1,1,16,86285.53125,157598.21875,Not Profitable,2957,17.7199993133545,2,2,4996822.5,290549120,Office,6,operating,Founder conflict
97,Startup_97,ClimateTech,Singapore,Tier1,2013,3,0,3,112029440,2024,6,0,0,15,37978.1015625,4493200.5,Not Profitable,544,26.4699993133545,4,0,94061376,7671023,Hybrid,3,operating,Acquired talent
98,Startup_98,ClimateTech,Brazil,Tier1,2022,4,1,0,577198.4375,2011,6,1,0,68,424856.15625,226680.84375,Not Profitable,35439,26.4699993133545,6,1,48510228,1528747.375,Office,3,closed,Market competition
99,Startup_99,FoodTech,Israel,Tier1,2009,5,0,2,3320476.75,2013,7,0,0,313,55692.19140625,675252.0625,Not Profitable,4793,10.1199998855591,7,0,119318088,19337888,Remote,3,operating,Product-market fit failure
100,Startup_100,Fintech,Brazil,Tier2,2012,1,1,2,3320476.75,2017,5,0,1,52,112829.7421875,3054164.5,Profitable,18662,36.5800018310547,5,0,93015840,8932885,Remote,3,ipo,Operating
101,Startup_101,FoodTech,Canada,Tier1,2012,4,0,7,2962092.25,2006,7,0,1,20,125960.5625,3142534.75,Not Profitable,981,18.4899997711182,11,1,32137586,369250848,Office,6,operating,Operating
102,Startup_102,Cybersecurity,Canada,Tier1,2021,4,0,2,1457370.75,2012,8,1,1,25,300871.21875,807906.5,Break-even,2122,42.4500007629395,1,2,12636977,8378193,Hybrid,4,operating,Ran out of cash
103,Startup_103,FoodTech,Singapore,Tier2,2018,3,0,0,14998037,2023,0,0,1,14,277318.5,904633.625,Not Profitable,343,49.3699989318848,4,2,41242536,32100378,Hybrid,4,operating,Ran out of cash
104,Startup_104,Gaming,USA,Tier2,2007,5,0,4,3320476.75,2008,0,1,0,13,256969.453125,129017.4453125,Not Profitable,1068,26.4699993133545,11,0,2054577664,7526480.5,Hybrid,2,acquired,Founder conflict
105,Startup_105,Fintech,UAE,Tier2,2006,5,0,4,6493833,2019,6,0,0,3,1384037,10309992,Not Profitable,882,31,4,2,349175584,21309364,Remote,1,operating,Operating
106,Startup_106,ClimateTech,Brazil,Tier2,2016,2,0,0,725261.375,2020,6,0,1,1,57375.3046875,1219247.5,Not Profitable,4271,25.3500003814697,3,0,138212416,14223491,Remote,3,operating,Operating
107,Startup_107,Gaming,India,Tier1,2007,2,0,2,3320476.75,2013,0,0,1,87,298128,3675998.75,Not Profitable,2782,26.4699993133545,9,2,58670284,2337163.5,Remote,1,acquired,Operating
108,Startup_108,Gaming,Singapore,Tier1,2003,4,0,6,20076818,2018,0,0,0,18,128193.21875,3454064,Profitable,2957,42.6800003051758,3,1,65230204,253097232,Office,4,closed,Market competition
109,Startup_109,Logistics,Israel,Tier2,2006,5,1,0,3320476.75,2024,8,0,0,20,230640.640625,179221.390625,Not Profitable,2484,44.5,4,1,93739968,18027746,Hybrid,6,operating,Operating
110,Startup_110,HealthTech,UK,Tier1,2022,3,0,4,2887369,2019,9,0,0,102,NULL,4803834,Not Profitable,2957,53.5900001525879,5,1,11452928,8932885,Remote,5,operating,Acquired talent
111,Startup_111,Fintech,India,Tier2,2019,5,0,3,2142364,2010,6,1,0,51,250758.0625,690186.125,Profitable,251,35.310001373291,7,0,29861364,6253141.5,Hybrid,6,acquired,Ran out of cash
112,Startup_112,Gaming,France,Tier2,2023,3,1,5,10508150,2016,3,1,1,20,92449.6640625,32349224,Not Profitable,5750,22.7299995422363,7,0,92070344,8932885,Office,0,closed,Ran out of cash
113,Startup_113,HealthTech,Canada,Tier1,2016,2,0,3,2377171.5,2019,5,1,1,24,316247.75,4729663.5,Not Profitable,1108,10.2799997329712,8,0,3569026,72372264,Office,3,closed,Operating
114,Startup_114,HealthTech,UAE,Tier1,2004,1,0,0,3754522.25,2007,2,1,0,5,NULL,21663336,Profitable,1999,26.4699993133545,2,4,69802280,9144714,Remote,3,closed,Product-market fit failure
115,Startup_115,Fintech,Israel,Tier1,2019,5,0,2,382568.3125,2008,7,0,0,8,57929.25390625,400061.8125,Not Profitable,7357,29.4500007629395,7,1,241481056,8932885,Hybrid,5,closed,Strategic shutdown
116,Startup_116,Logistics,Singapore,Tier1,2003,2,0,6,3320476.75,2008,4,1,1,36,45214.96875,562533,Break-even,433,22.2299995422363,7,0,633372608,8932885,Hybrid,3,acquired,Operating
117,Startup_117,Ecommerce,Brazil,Tier1,2018,1,1,5,537772.375,2021,4,1,1,9,48291.8671875,181354.03125,Not Profitable,677,18.3199996948242,6,0,102618496,2144436.75,Hybrid,1,operating,Founder conflict
118,Startup_118,TravelTech,Brazil,Tier3,2000,1,0,2,6695630.5,2010,0,0,0,8,28696.078125,13578465,Not Profitable,367,41.7299995422363,6,3,37423308,9823097,Remote,1,closed,Product-market fit failure
119,Startup_119,Cybersecurity,Australia,Tier1,2020,2,0,3,990599.4375,2022,3,1,0,26,279495.28125,3989298.25,Profitable,2957,23.1599998474121,6,0,675543360,120359400,Hybrid,3,operating,Operating
120,Startup_120,TravelTech,Canada,Tier2,2023,2,0,3,1161560.625,2015,7,1,1,13,182685.84375,2282166.25,Not Profitable,2957,47.9199981689453,3,1,96653424,8932885,Remote,1,operating,Operating
121,Startup_121,FoodTech,India,Tier1,2009,2,0,0,1490222.75,2016,6,0,1,8,297344.84375,1009377.3125,Break-even,6915,15.6599998474121,10,0,29068106,13103042,Office,3,ipo,Operating
122,Startup_122,ClimateTech,France,Tier1,2005,3,0,1,3666505,2013,9,1,0,10,53117.01953125,116554.9375,Not Profitable,2243,26.4699993133545,3,0,39887748,8932885,Remote,3,operating,Operating
123,Startup_123,Cybersecurity,France,Tier1,2011,4,0,0,6670259,2009,7,1,0,4,35654.9453125,32163790,Profitable,2957,19.2700004577637,4,0,74108248,8029773.5,Office,3,acquired,Ran out of cash
124,Startup_124,FoodTech,Canada,Tier2,2016,4,0,4,34669608,2007,0,0,0,118,11705.65625,1219247.5,Not Profitable,19815,9.14999961853027,4,1,21007044,4573178,Hybrid,3,closed,Operating
125,Startup_125,Gaming,Netherlands,Tier1,2004,4,1,0,10796582,2008,5,1,1,7,86018.0234375,80808.28125,Not Profitable,5099,48.8899993896484,5,1,567066240,8932885,Office,2,closed,Product-market fit failure
126,Startup_126,ClimateTech,Australia,Tier1,2021,3,0,6,3868002.75,2016,0,1,1,10,9816.2470703125,13992.3056640625,Profitable,2957,22.4099998474121,6,3,10435386,66931416,Remote,3,operating,Market competition
127,Startup_127,SaaS,Netherlands,Tier2,2008,2,1,0,10274075,2018,4,1,1,16,470854.875,7753724.5,Not Profitable,1794,28.2299995422363,3,0,26784976,100463112,Office,6,operating,Operating
128,Startup_128,Fintech,Netherlands,Tier1,2008,4,0,4,753957.625,2018,4,1,1,20,73760.4765625,1219247.5,Not Profitable,5968,26.4699993133545,3,1,95928136,8932885,Hybrid,4,closed,Operating
129,Startup_129,Cybersecurity,Australia,Tier1,2004,3,0,1,4029387,2014,7,1,1,20,193372.234375,1219247.5,Profitable,7985,26.4699993133545,6,2,90783616,36598716,Remote,3,closed,Product-market fit failure
130,Startup_130,Cybersecurity,UAE,Tier1,2018,3,1,4,64880044,2019,9,0,0,20,165224.515625,1219247.5,Break-even,2957,35.1399993896484,6,1,64284208,1873592.75,Remote,4,operating,Market competition
131,Startup_131,Gaming,India,Tier1,2021,2,1,3,480327.09375,2019,5,1,0,18,40250.36328125,1818727.5,Break-even,497,26.4699993133545,2,0,19406578,176414.703125,Office,3,operating,Regulatory issues
